sequence,is_target,condition,stimuli,block,is_block_beginning,is_block_ending,fname,subject,retraining.thisRepN,retraining.thisTrialN,retraining.thisN,retraining.thisIndex,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,langage_text.started,langage_key.started,langage_key.keys,langage_key.rt,intro_text.started,intro_key.started,intro_key.keys,intro_key.rt,training_robot_intro_text.started,training_robot_intro_key.started,training_robot_intro_key.keys,training_robot_intro_key.rt,cross.started,cross.stopped,training_letter.started,training_robot_key.started,training_robot_question.started,training_robot_keys.started,training_letter.stopped,training_robot_key.keys,RSME_labels.started,RSME_labels.stopped,RSME_ticks.started,RSME_ticks.stopped,RSME_text.started,RSME_text.stopped,RSME_key.started,RSME_key.stopped,RSME_ticks.response,RSME_ticks.rt,RSME_key.keys,training_robot_intro_text.stopped,training_robot_intro_key.stopped,training_robot_key.rt,RSME_key.rt,training_robot_movie.started,experiment_beginning_text.started,experiment_beginning_keys.started,experiment_beginning_key.started,experiment_beginning_key.keys,experiment_beginning_key.rt,block_intro_text.started,block_intro_key.started,block_intro_key.keys,block_intro_key.rt,movie.started,key.started,key.keys,key.rt,block_intro_text.stopped,block_intro_key.stopped,letter.started,letter.stopped,participant,session,date,expName,psychopyVersion,frameRate,
T,True,3,letter,2,False,False,robot_stimuli\\filler.mp4,10,0,0,0,0,0,15,15,15,,,,,,,,,,,,,1341.2655041,1341.2655041,None,,1341.2655041,,1342.3483703,1342.3483703,1342.3483703,1342.3483703,1344.5813693,c,1344.5813693,1344.5813693,1344.5813693,1344.5813693,1344.5813693,1344.5813693,1344.5813693,1344.5813693,None,None,None,1341.2655041,1341.2655041,1.5495160999998632,,,,,,,,,,,,,,,,,,,,10,001,2024-06-18_09h45.18.178,robot_nback_sign,2022.2.5,60.01385119685948,
C,False,3,letter,2,False,False,robot_stimuli\\filler.mp4,10,0,0,0,0,0,16,16,16,,,,,,,,,,,,,1344.5813693,1344.5813693,None,,1344.5813693,,1345.6647675,1345.6647675,1345.6647675,1345.6647675,1347.8962757,None,1347.8962757,1347.8962757,1347.8962757,1347.8962757,1347.8962757,1347.8962757,1347.8962757,1347.8962757,None,None,None,1344.5813693,1344.5813693,,,,,,,,,,,,,,,,,,,,,10,001,2024-06-18_09h45.18.178,robot_nback_sign,2022.2.5,60.01385119685948,
J,True,3,letter,2,False,True,robot_stimuli\\filler.mp4,10,0,0,0,0,0,17,17,17,,,,,,,,,,,,,1347.8962757,1347.8962757,None,,1347.8962757,1348.9650910999999,1348.9650910999999,1348.9650910999999,1348.9650910999999,1348.9650910999999,1351.2253802,c,1351.2253802,1365.7278069,1351.2253802,1365.7278069,1351.2253802,1365.7278069,1351.2253802,1365.7278069,36.79012345679013,13.921146599999929,space,1347.8962757,1347.8962757,1.4603061999998488,14.432030599999933,,,,,,,,,,,,,,,,,,,10,001,2024-06-18_09h45.18.178,robot_nback_sign,2022.2.5,60.01385119685948,
R_Base_Z_For,False,1,robot,1,True,False,robot_stimuli\R_Base_Z_For.mp4,10,0,0,0,0,0,18,18,18,,,,,,,,,,,,,1365.7278069,1365.7278069,space,2.184557200000171,1367.9295633,1369.0558596,,1369.0558596,1369.0558596,1369.0558596,,None,1372.6794835,1372.6794835,1372.6794835,1372.6794835,1372.6794835,1372.6794835,1372.6794835,1372.6794835,None,None,None,,,,,1369.0558596,,,,,,,,,,,,,,,,,,10,001,2024-06-18_09h45.18.178,robot_nback_sign,2022.2.5,60.01385119685948,
R_Base_Z_For,True,1,robot,1,False,False,robot_stimuli\R_Base_Z_For.mp4,10,0,0,0,0,0,19,19,19,,,,,,,,,,,,,1372.6794835,1372.6794835,None,,1372.6794835,1373.7753245,,1373.7753245,1373.7753245,1373.7753245,,c,1377.4086851,1377.4086851,1377.4086851,1377.4086851,1377.4086851,1377.4086851,1377.4086851,1377.4086851,None,None,None,1372.6794835,1372.6794835,1.810383999999857,,1373.7753245,,,,,,,,,,,,,,,,,,10,001,2024-06-18_09h45.18.178,robot_nback_sign,2022.2.5,60.01385119685948,
R_Arm_X_Back,False,1,robot,1,False,False,robot_stimuli\R_Arm_X_Back.mp4,10,0,0,0,0,0,20,20,20,,,,,,,,,,,,,1377.4086851,1377.4086851,None,,1377.4086851,1378.5137962,,1378.5137962,1378.5137962,1378.5137962,,None,1382.1586834,1382.1586834,1382.1586834,1382.1586834,1382.1586834,1382.1586834,1382.1586834,1382.1586834,None,None,None,1377.4086851,1377.4086851,,,1378.5137962,,,,,,,,,,,,,,,,,,10,001,2024-06-18_09h45.18.178,robot_nback_sign,2022.2.5,60.01385119685948,
L_Torso_Z_For,False,1,robot,1,False,False,robot_stimuli\L_Torso_Z_For.mp4,10,0,0,0,0,0,21,21,21,,,,,,,,,,,,,1382.1586834,1382.1586834,None,,1382.1586834,1383.2629385999999,,1383.2629385999999,1383.2629385999999,1383.2629385999999,,None,1386.9091864,1386.9091864,1386.9091864,1386.9091864,1386.9091864,1386.9091864,1386.9091864,1386.9091864,None,None,None,1382.1586834,1382.1586834,,,1383.2629385999999,,,,,,,,,,,,,,,,,,10,001,2024-06-18_09h45.18.178,robot_nback_sign,2022.2.5,60.01385119685948,
R_Head_X_For,False,1,robot,1,False,False,robot_stimuli\R_Head_X_For.mp4,10,0,0,0,0,0,22,22,22,,,,,,,,,,,,,1386.9091864,1386.9091864,None,,1386.9091864,1388.0125815,,1388.0125815,1388.0125815,1388.0125815,,None,1391.6594038,1391.6594038,1391.6594038,1391.6594038,1391.6594038,1391.6594038,1391.6594038,1391.6594038,None,None,None,1386.9091864,1386.9091864,,,1388.0125815,,,,,,,,,,,,,,,,,,10,001,2024-06-18_09h45.18.178,robot_nback_sign,2022.2.5,60.01385119685948,
R_Head_X_For,True,1,robot,1,False,True,robot_stimuli\R_Head_X_For.mp4,10,0,0,0,0,0,23,23,23,,,,,,,,,,,,,1391.6594038,1391.6594038,None,,1391.6594038,1392.7541109,,1392.7541109,1392.7541109,1392.7541109,,c,1396.4268501,1402.9433588,1396.4268501,1402.9433588,1396.4268501,1402.9433588,1396.4268501,1402.9433588,21.975308641975307,5.207104700000173,space,1391.6594038,1391.6594038,0.9268270999998265,6.470330300000086,1392.7541109,,,,,,,,,,,,,,,,,,10,001,2024-06-18_09h45.18.178,robot_nback_sign,2022.2.5,60.01385119685948,
L_Arm_Y_Back,False,2,robot,1,True,False,robot_stimuli\L_Arm_Y_Back.mp4,10,0,0,0,0,0,24,24,24,,,,,,,,,,,,,1402.9433588,1402.9433588,space,2.3051249000002088,1405.2801299,1406.3771387,,1406.3771387,1406.3771387,1406.3771387,,n,1410.0296002,1410.0296002,1410.0296002,1410.0296002,1410.0296002,1410.0296002,1410.0296002,1410.0296002,None,None,None,,,2.0161469999997905,,1406.3771387,,,,,,,,,,,,,,,,,,10,001,2024-06-18_09h45.18.178,robot_nback_sign,2022.2.5,60.01385119685948,
L_Base_Y_Back,False,2,robot,1,False,False,robot_stimuli\L_Base_Y_Back.mp4,10,0,0,0,0,0,25,25,25,,,,,,,,,,,,,1410.0296002,1410.0296002,None,,1410.0296002,1411.1279024,,1411.1279024,1411.1279024,1411.1279024,,n,1414.7153647,1414.7153647,1414.7153647,1414.7153647,1414.7153647,1414.7153647,1414.7153647,1414.7153647,None,None,None,1410.0296002,1410.0296002,2.1220127999999647,,1411.1279024,,,,,,,,,,,,,,,,,,10,001,2024-06-18_09h45.18.178,robot_nback_sign,2022.2.5,60.01385119685948,
L_Arm_Y_Back,True,2,robot,1,False,False,robot_stimuli\L_Arm_Y_Back.mp4,10,0,0,0,0,0,26,26,26,,,,,,,,,,,,,1414.7153647,1414.7153647,None,,1414.7153647,,,1415.8237188,1415.8237188,1415.8237188,,c,1419.4627105,1419.4627105,1419.4627105,1419.4627105,1419.4627105,1419.4627105,1419.4627105,1419.4627105,None,None,None,1414.7153647,1414.7153647,1.2347363999999459,,1415.8237188,,,,,,,,,,,,,,,,,,10,001,2024-06-18_09h45.18.178,robot_nback_sign,2022.2.5,60.01385119685948,
R_Head_X_Back,False,2,robot,1,False,False,robot_stimuli\R_Head_X_Back.mp4,10,0,0,0,0,0,27,27,27,,,,,,,,,,,,,1419.4627105,1419.4627105,None,,1419.4627105,1420.5620796,,1420.5620796,1420.5620796,1420.5620796,,n,1424.2156399,1424.2156399,1424.2156399,1424.2156399,1424.2156399,1424.2156399,1424.2156399,1424.2156399,None,None,None,1419.4627105,1419.4627105,1.0067034000000774,,1420.5620796,,,,,,,,,,,,,,,,,,10,001,2024-06-18_09h45.18.178,robot_nback_sign,2022.2.5,60.01385119685948,
R_Torso_Z_For,False,2,robot,1,False,False,robot_stimuli\R_Torso_Z_For.mp4,10,0,0,0,0,0,28,28,28,,,,,,,,,,,,,1424.2156399,1424.2156399,None,,1424.2156399,,,1425.3276951,1425.3276951,1425.3276951,,n,1428.9793083,1428.9793083,1428.9793083,1428.9793083,1428.9793083,1428.9793083,1428.9793083,1428.9793083,None,None,None,1424.2156399,1424.2156399,1.8666505999997014,,1425.3276951,,,,,,,,,,,,,,,,,,10,001,2024-06-18_09h45.18.178,robot_nback_sign,2022.2.5,60.01385119685948,
R_Head_X_Back,True,2,robot,1,False,True,robot_stimuli\R_Head_X_Back.mp4,10,0,0,0,0,0,29,29,29,,,,,,,,,,,,,1428.9793083,1428.9793083,None,,1428.9793083,1430.0751201,,1430.0751201,1430.0751201,1430.0751201,,c,1433.7608969999999,1437.8445069,1433.7608969999999,1437.8445069,1433.7608969999999,1437.8445069,1433.7608969999999,1437.8445069,25.370370370370367,3.4068215000002056,space,1428.9793083,1428.9793083,1.246655100000197,4.039615699999985,1430.0751201,,,,,,,,,,,,,,,,,,10,001,2024-06-18_09h45.18.178,robot_nback_sign,2022.2.5,60.01385119685948,
L_Arm_Y_For,False,3,robot,1,True,False,robot_stimuli\L_Arm_Y_For.mp4,10,0,0,0,0,0,30,30,30,,,,,,,,,,,,,1437.8445069,1437.8445069,space,1.9177667000001009,1439.7799759,1440.873805,,1440.873805,1440.873805,1440.873805,,n,1444.5151108999999,1444.5151108999999,1444.5151108999999,1444.5151108999999,1444.5151108999999,1444.5151108999999,1444.5151108999999,1444.5151108999999,None,None,None,,,1.5359054000000185,,1440.873805,,,,,,,,,,,,,,,,,,10,001,2024-06-18_09h45.18.178,robot_nback_sign,2022.2.5,60.01385119685948,
R_Arm_Y_Back,False,3,robot,1,False,False,robot_stimuli\R_Arm_Y_Back.mp4,10,0,0,0,0,0,31,31,31,,,,,,,,,,,,,1444.5151108999999,1444.5151108999999,None,,1444.5151108999999,,,1445.6135127999999,1445.6135127999999,1445.6135127999999,,n,1449.2638358,1449.2638358,1449.2638358,1449.2638358,1449.2638358,1449.2638358,1449.2638358,1449.2638358,None,None,None,1444.5151108999999,1444.5151108999999,2.3396729000000676,,1445.6135127999999,,,,,,,,,,,,,,,,,,10,001,2024-06-18_09h45.18.178,robot_nback_sign,2022.2.5,60.01385119685948,
R_Torso_X_For,False,3,robot,1,False,False,robot_stimuli\R_Torso_X_For.mp4,10,0,0,0,0,0,32,32,32,,,,,,,,,,,,,1449.2638358,1449.2638358,None,,1449.2638358,1450.3480694,,1450.3480694,1450.3480694,1450.3480694,,n,1453.989408,1453.989408,1453.989408,1453.989408,1453.989408,1453.989408,1453.989408,1453.989408,None,None,None,1449.2638358,1449.2638358,2.54928599999991,,1450.3480694,,,,,,,,,,,,,,,,,,10,001,2024-06-18_09h45.18.178,robot_nback_sign,2022.2.5,60.01385119685948,
L_Arm_Y_For,True,3,robot,1,False,False,robot_stimuli\L_Arm_Y_For.mp4,10,0,0,0,0,0,33,33,33,,,,,,,,,,,,,1453.989408,1453.989408,None,,1453.989408,1455.0876062,,1455.0876062,1455.0876062,1455.0876062,,c,1458.7278216,1458.7278216,1458.7278216,1458.7278216,1458.7278216,1458.7278216,1458.7278216,1458.7278216,None,None,None,1453.989408,1453.989408,1.8181665999997847,,1455.0876062,,,,,,,,,,,,,,,,,,10,001,2024-06-18_09h45.18.178,robot_nback_sign,2022.2.5,60.01385119685948,
R_Arm_Y_Back,True,3,robot,1,False,False,robot_stimuli\R_Arm_Y_Back.mp4,10,0,0,0,0,0,34,34,34,,,,,,,,,,,,,1458.7278216,1458.7278216,None,,1458.7278216,1459.8136678,,1459.8136678,1459.8136678,1459.8136678,,c,1463.4628573,1463.4628573,1463.4628573,1463.4628573,1463.4628573,1463.4628573,1463.4628573,1463.4628573,None,None,None,1458.7278216,1458.7278216,1.9641329000000667,,1459.8136678,,,,,,,,,,,,,,,,,,10,001,2024-06-18_09h45.18.178,robot_nback_sign,2022.2.5,60.01385119685948,
R_Head_X_For,False,3,robot,1,False,True,robot_stimuli\R_Head_X_For.mp4,10,0,0,0,0,0,35,35,35,,,,,,,,,,,,,1463.4628573,1463.4628573,None,,1463.4628573,1464.5470971,,1464.5470971,1464.5470971,1464.5470971,,n,1468.2258804,1489.6409969,1468.2258804,1489.6409969,1468.2258804,1489.6409969,1468.2258804,1489.6409969,50.52469135802469,20.70897059999993,space,1463.4628573,1463.4628573,1.6378654000002086,21.343427700000092,1464.5470971,,,,,,,,,,,,,,,,,,10,001,2024-06-18_09h45.18.178,robot_nback_sign,2022.2.5,60.01385119685948,
,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1489.6409969,1489.6409969,1489.6409969,c,459.49779950000016,,,,,,,,,,,,,10,001,2024-06-18_09h45.18.178,robot_nback_sign,2022.2.5,60.01385119685948,
R_Base_Y_For,False,3,robot,1,True,False,robot_stimuli\R_Base_Y_For.mp4,10,,,,,,,,,0,0,0,0,,,,,,,,,,,,,1956.0144432,1957.0989656999998,,,,,,,1960.7532112000001,1960.7532112000001,1960.7532112000001,1960.7532112000001,1960.7532112000001,1960.7532112000001,1960.7532112000001,1960.7532112000001,None,None,None,,,,,,,,,,,1949.2024015999998,1949.2024015999998,space,6.784152599999942,1957.0989656999998,1957.0989656999998,n,2.56684130000005,,,,,10,001,2024-06-18_09h45.18.178,robot_nback_sign,2022.2.5,60.01385119685948,
R_Head_Z_Back,False,3,robot,1,False,False,robot_stimuli\R_Head_Z_Back.mp4,10,,,,,,,,,0,1,1,1,,,,,,,,,,,,,1960.7532112000001,1961.858958,,,,,,,1965.4893183000001,1965.4893183000001,1965.4893183000001,1965.4893183000001,1965.4893183000001,1965.4893183000001,1965.4893183000001,1965.4893183000001,None,None,None,,,,,,,,,,,1960.7532112000001,1960.7532112000001,None,,1961.858958,1961.858958,n,1.373766699999777,1960.7532112000001,1960.7532112000001,,,10,001,2024-06-18_09h45.18.178,robot_nback_sign,2022.2.5,60.01385119685948,
L_Torso_Z_Back,False,3,robot,1,False,False,robot_stimuli\L_Torso_Z_Back.mp4,10,,,,,,,,,0,2,2,2,,,,,,,,,,,,,1965.4893183000001,1966.5810970999999,,,,,,,1970.0886489000002,1970.0886489000002,1970.0886489000002,1970.0886489000002,1970.0886489000002,1970.0886489000002,1970.0886489000002,1970.0886489000002,None,None,None,,,,,,,,,,,1965.4893183000001,1965.4893183000001,None,,1966.5810970999999,1966.5810970999999,n,1.341193899999979,1965.4893183000001,1965.4893183000001,,,10,001,2024-06-18_09h45.18.178,robot_nback_sign,2022.2.5,60.01385119685948,
R_Torso_X_For,False,3,robot,1,False,False,robot_stimuli\R_Torso_X_For.mp4,10,,,,,,,,,0,3,3,3,,,,,,,,,,,,,1970.0886489000002,1971.1766418,,,,,,,1974.8300511,1974.8300511,1974.8300511,1974.8300511,1974.8300511,1974.8300511,1974.8300511,1974.8300511,None,None,None,,,,,,,,,,,1970.0886489000002,1970.0886489000002,None,,1971.1766418,1971.1766418,c,1.248834000000187,1970.0886489000002,1970.0886489000002,,,10,001,2024-06-18_09h45.18.178,robot_nback_sign,2022.2.5,60.01385119685948,
R_Arm_X_For,False,3,robot,1,False,False,robot_stimuli\R_Arm_X_For.mp4,10,,,,,,,,,0,4,4,4,,,,,,,,,,,,,1974.8300511,1975.9248704,,,,,,,1979.5639997,1979.5639997,1979.5639997,1979.5639997,1979.5639997,1979.5639997,1979.5639997,1979.5639997,None,None,None,,,,,,,,,,,1974.8300511,1974.8300511,None,,1975.9248704,1975.9248704,n,1.197056899999751,1974.8300511,1974.8300511,,,10,001,2024-06-18_09h45.18.178,robot_nback_sign,2022.2.5,60.01385119685948,
L_Base_X_Back,False,3,robot,1,False,False,robot_stimuli\L_Base_X_Back.mp4,10,,,,,,,,,0,5,5,5,,,,,,,,,,,,,1979.5639997,1980.6467053,,,,,,,1984.2629203,1984.2629203,1984.2629203,1984.2629203,1984.2629203,1984.2629203,1984.2629203,1984.2629203,None,None,None,,,,,,,,,,,1979.5639997,1979.5639997,None,,1980.6467053,1980.6467053,c,1.9706078000001241,1979.5639997,1979.5639997,,,10,001,2024-06-18_09h45.18.178,robot_nback_sign,2022.2.5,60.01385119685948,
R_Arm_Z_Back,False,3,robot,1,False,False,robot_stimuli\R_Arm_Z_Back.mp4,10,,,,,,,,,0,6,6,6,,,,,,,,,,,,,1984.2629203,1985.3469852,,,,,,,1988.9973260999998,1988.9973260999998,1988.9973260999998,1988.9973260999998,1988.9973260999998,1988.9973260999998,1988.9973260999998,1988.9973260999998,None,None,None,,,,,,,,,,,1984.2629203,1984.2629203,None,,1985.3469852,1985.3469852,n,2.6058328999999674,1984.2629203,1984.2629203,,,10,001,2024-06-18_09h45.18.178,robot_nback_sign,2022.2.5,60.01385119685948,
