sequence,is_target,condition,stimuli,block,is_block_beginning,is_block_ending,fname,subject,retraining.thisRepN,retraining.thisTrialN,retraining.thisN,retraining.thisIndex,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,langage_text.started,langage_key.started,langage_key.keys,langage_key.rt,intro_text.started,intro_key.started,intro_key.keys,intro_key.rt,training_robot_intro_text.started,training_robot_intro_key.started,training_robot_intro_key.keys,training_robot_intro_key.rt,cross.started,cross.stopped,training_letter.started,training_robot_key.started,training_robot_question.started,training_robot_keys.started,training_letter.stopped,training_robot_key.keys,RSME_labels.started,RSME_labels.stopped,RSME_ticks.started,RSME_ticks.stopped,RSME_text.started,RSME_text.stopped,RSME_key.started,RSME_key.stopped,RSME_ticks.response,RSME_ticks.rt,RSME_key.keys,training_robot_intro_text.stopped,training_robot_intro_key.stopped,training_robot_key.rt,RSME_key.rt,training_robot_movie.started,experiment_beginning_text.started,experiment_beginning_keys.started,experiment_beginning_key.started,experiment_beginning_key.keys,experiment_beginning_key.rt,block_intro_text.started,block_intro_key.started,block_intro_key.keys,block_intro_key.rt,letter.started,key.started,letter.stopped,key.keys,block_intro_text.stopped,block_intro_key.stopped,key.rt,movie.started,participant,session,date,expName,psychopyVersion,frameRate,Unnamed: 80
S,True,2.0,letter,1.0,False,False,robot_stimuli\\filler.mp4,12.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,8.0,,,,,,,,,,,,,183.03833809999924,183.03833809999924,None,,183.03833809999924,,184.11698420000167,184.11698420000167,184.11698420000167,184.11698420000167,186.1506064999994,c,186.1506064999994,186.1506064999994,186.1506064999994,186.1506064999994,186.1506064999994,186.1506064999994,186.1506064999994,186.1506064999994,None,None,None,183.03833809999924,183.03833809999924,0.6369683999982954,,,,,,,,,,,,,,,,,,,,12,1,2024-06-18_17h02.34.500,robot_nback_sign,2022.2.5,60.20647207619808,
S,True,2.0,letter,1.0,False,False,robot_stimuli\\filler.mp4,12.0,0.0,0.0,0.0,0.0,0.0,9.0,9.0,9.0,,,,,,,,,,,,,186.1506064999994,186.1506064999994,None,,186.1506064999994,187.2161823000024,187.2161823000024,187.2161823000024,187.2161823000024,187.2161823000024,189.25007470000128,c,189.25007470000128,189.25007470000128,189.25007470000128,189.25007470000128,189.25007470000128,189.25007470000128,189.25007470000128,189.25007470000128,None,None,None,186.1506064999994,186.1506064999994,0.6731843999987177,,,,,,,,,,,,,,,,,,,,12,1,2024-06-18_17h02.34.500,robot_nback_sign,2022.2.5,60.20647207619808,
F,False,2.0,letter,1.0,False,False,robot_stimuli\\filler.mp4,12.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,10.0,,,,,,,,,,,,,189.25007470000128,189.25007470000128,None,,189.25007470000128,190.32099690000177,190.32099690000177,190.32099690000177,190.32099690000177,190.32099690000177,192.54944299999988,n,192.54944299999988,192.54944299999988,192.54944299999988,192.54944299999988,192.54944299999988,192.54944299999988,192.54944299999988,192.54944299999988,None,None,None,189.25007470000128,189.25007470000128,0.8477034999959869,,,,,,,,,,,,,,,,,,,,12,1,2024-06-18_17h02.34.500,robot_nback_sign,2022.2.5,60.20647207619808,
F,False,2.0,letter,1.0,False,True,robot_stimuli\\filler.mp4,12.0,0.0,0.0,0.0,0.0,0.0,11.0,11.0,11.0,,,,,,,,,,,,,192.54944299999988,192.54944299999988,None,,192.54944299999988,193.6160149999996,193.6160149999996,193.6160149999996,193.6160149999996,193.6160149999996,195.68138380000164,n,195.68138380000164,200.37996500000008,195.68138380000164,200.37996500000008,195.68138380000164,200.37996500000008,195.68138380000164,200.37996500000008,36.327160493827165,3.334565000001021,space,192.54944299999988,192.54944299999988,0.9221814999982598,4.639984999997978,,,,,,,,,,,,,,,,,,,12,1,2024-06-18_17h02.34.500,robot_nback_sign,2022.2.5,60.20647207619808,
C,False,3.0,letter,1.0,True,False,robot_stimuli\\filler.mp4,12.0,0.0,0.0,0.0,0.0,0.0,12.0,12.0,12.0,,,,,,,,,,,,,200.37996500000008,200.37996500000008,space,2.1577876999981527,202.56958999999915,203.6450842000013,203.6450842000013,203.6450842000013,203.6450842000013,203.6450842000013,205.8771309000004,None,205.8771309000004,205.8771309000004,205.8771309000004,205.8771309000004,205.8771309000004,205.8771309000004,205.8771309000004,205.8771309000004,None,None,None,,,,,,,,,,,,,,,,,,,,,,,12,1,2024-06-18_17h02.34.500,robot_nback_sign,2022.2.5,60.20647207619808,
M,False,3.0,letter,1.0,False,False,robot_stimuli\\filler.mp4,12.0,0.0,0.0,0.0,0.0,0.0,13.0,13.0,13.0,,,,,,,,,,,,,205.8771309000004,205.8771309000004,None,,205.8771309000004,206.95388300000195,206.95388300000195,206.95388300000195,206.95388300000195,206.95388300000195,208.9859653999993,None,208.9859653999993,208.9859653999993,208.9859653999993,208.9859653999993,208.9859653999993,208.9859653999993,208.9859653999993,208.9859653999993,None,None,None,205.8771309000004,205.8771309000004,,,,,,,,,,,,,,,,,,,,,12,1,2024-06-18_17h02.34.500,robot_nback_sign,2022.2.5,60.20647207619808,
N,False,3.0,letter,1.0,False,False,robot_stimuli\\filler.mp4,12.0,0.0,0.0,0.0,0.0,0.0,14.0,14.0,14.0,,,,,,,,,,,,,208.9859653999993,208.9859653999993,None,,208.9859653999993,210.0530249000003,210.0530249000003,210.0530249000003,210.0530249000003,210.0530249000003,212.08331550000003,None,212.08331550000003,212.08331550000003,212.08331550000003,212.08331550000003,212.08331550000003,212.08331550000003,212.08331550000003,212.08331550000003,None,None,None,208.9859653999993,208.9859653999993,,,,,,,,,,,,,,,,,,,,,12,1,2024-06-18_17h02.34.500,robot_nback_sign,2022.2.5,60.20647207619808,
Q,False,3.0,letter,1.0,False,False,robot_stimuli\\filler.mp4,12.0,0.0,0.0,0.0,0.0,0.0,15.0,15.0,15.0,,,,,,,,,,,,,212.08331550000003,212.08331550000003,None,,212.08331550000003,213.15530600000056,213.15530600000056,213.15530600000056,213.15530600000056,213.15530600000056,215.38843780000025,n,215.38843780000025,215.38843780000025,215.38843780000025,215.38843780000025,215.38843780000025,215.38843780000025,215.38843780000025,215.38843780000025,None,None,None,212.08331550000003,212.08331550000003,0.5823729000003368,,,,,,,,,,,,,,,,,,,,12,1,2024-06-18_17h02.34.500,robot_nback_sign,2022.2.5,60.20647207619808,
M,True,3.0,letter,1.0,False,False,robot_stimuli\\filler.mp4,12.0,0.0,0.0,0.0,0.0,0.0,16.0,16.0,16.0,,,,,,,,,,,,,215.38843780000025,215.38843780000025,None,,215.38843780000025,,216.46765589999995,216.46765589999995,216.46765589999995,216.46765589999995,218.50471620000096,n,218.50471620000096,218.50471620000096,218.50471620000096,218.50471620000096,218.50471620000096,218.50471620000096,218.50471620000096,218.50471620000096,None,None,None,215.38843780000025,215.38843780000025,1.375031299998227,,,,,,,,,,,,,,,,,,,,12,1,2024-06-18_17h02.34.500,robot_nback_sign,2022.2.5,60.20647207619808,
N,True,3.0,letter,1.0,False,True,robot_stimuli\\filler.mp4,12.0,0.0,0.0,0.0,0.0,0.0,17.0,17.0,17.0,,,,,,,,,,,,,218.50471620000096,218.50471620000096,None,,218.50471620000096,,219.5835871000017,219.5835871000017,219.5835871000017,219.5835871000017,221.6408011999993,n,221.6408011999993,225.6441279999999,221.6408011999993,225.6441279999999,221.6408011999993,225.6441279999999,221.6408011999993,225.6441279999999,44.197530864197525,3.0918481000007887,space,218.50471620000096,218.50471620000096,1.354097899999033,3.944333399998868,,,,,,,,,,,,,,,,,,,12,1,2024-06-18_17h02.34.500,robot_nback_sign,2022.2.5,60.20647207619808,
L_Base_X_For,False,1.0,robot,2.0,True,False,robot_stimuli\L_Base_X_For.mp4,12.0,0.0,0.0,0.0,0.0,0.0,18.0,18.0,18.0,,,,,,,,,,,,,225.6441279999999,225.6441279999999,space,1.8136815999969256,227.4863905999992,228.5981974000024,,228.5981974000024,228.5981974000024,228.5981974000024,,None,232.16788169999927,232.16788169999927,232.16788169999927,232.16788169999927,232.16788169999927,232.16788169999927,232.16788169999927,232.16788169999927,None,None,None,,,,,228.5981974000024,,,,,,,,,,,,,,,,,,12,1,2024-06-18_17h02.34.500,robot_nback_sign,2022.2.5,60.20647207619808,
L_Base_X_For,True,1.0,robot,2.0,False,False,robot_stimuli\L_Base_X_For.mp4,12.0,0.0,0.0,0.0,0.0,0.0,19.0,19.0,19.0,,,,,,,,,,,,,232.16788169999927,232.16788169999927,None,,232.16788169999927,233.26122570000007,,233.26122570000007,233.26122570000007,233.26122570000007,,None,236.8382352000008,236.8382352000008,236.8382352000008,236.8382352000008,236.8382352000008,236.8382352000008,236.8382352000008,236.8382352000008,None,None,None,232.16788169999927,232.16788169999927,,,233.26122570000007,,,,,,,,,,,,,,,,,,12,1,2024-06-18_17h02.34.500,robot_nback_sign,2022.2.5,60.20647207619808,
R_Torso_Z_For,False,1.0,robot,2.0,False,False,robot_stimuli\R_Torso_Z_For.mp4,12.0,0.0,0.0,0.0,0.0,0.0,20.0,20.0,20.0,,,,,,,,,,,,,236.8382352000008,236.8382352000008,None,,236.8382352000008,,,237.9530575999997,237.9530575999997,237.9530575999997,,n,241.5983883000008,241.5983883000008,241.5983883000008,241.5983883000008,241.5983883000008,241.5983883000008,241.5983883000008,241.5983883000008,None,None,None,236.8382352000008,236.8382352000008,2.76066009999704,,237.9530575999997,,,,,,,,,,,,,,,,,,12,1,2024-06-18_17h02.34.500,robot_nback_sign,2022.2.5,60.20647207619808,
R_Torso_Z_For,True,1.0,robot,2.0,False,False,robot_stimuli\R_Torso_Z_For.mp4,12.0,0.0,0.0,0.0,0.0,0.0,21.0,21.0,21.0,,,,,,,,,,,,,241.5983883000008,241.5983883000008,None,,241.5983883000008,242.6943229999997,,242.6943229999997,242.6943229999997,242.6943229999997,,c,246.33850040000107,246.33850040000107,246.33850040000107,246.33850040000107,246.33850040000107,246.33850040000107,246.33850040000107,246.33850040000107,None,None,None,241.5983883000008,241.5983883000008,1.4198385999989114,,242.6943229999997,,,,,,,,,,,,,,,,,,12,1,2024-06-18_17h02.34.500,robot_nback_sign,2022.2.5,60.20647207619808,
R_Base_Z_Back,False,1.0,robot,2.0,False,False,robot_stimuli\R_Base_Z_Back.mp4,12.0,0.0,0.0,0.0,0.0,0.0,22.0,22.0,22.0,,,,,,,,,,,,,246.33850040000107,246.33850040000107,None,,246.33850040000107,,,247.4492804000001,247.4492804000001,247.4492804000001,,c,251.00218120000136,251.00218120000136,251.00218120000136,251.00218120000136,251.00218120000136,251.00218120000136,251.00218120000136,251.00218120000136,None,None,None,246.33850040000107,246.33850040000107,1.5289207999994687,,247.4492804000001,,,,,,,,,,,,,,,,,,12,1,2024-06-18_17h02.34.500,robot_nback_sign,2022.2.5,60.20647207619808,
R_Base_Z_For,False,1.0,robot,2.0,False,True,robot_stimuli\R_Base_Z_For.mp4,12.0,0.0,0.0,0.0,0.0,0.0,23.0,23.0,23.0,,,,,,,,,,,,,251.00218120000136,251.00218120000136,None,,251.00218120000136,252.09705870000107,,252.09705870000107,252.09705870000107,252.09705870000107,,c,255.76645410000128,259.3869382000012,255.76645410000128,259.3869382000012,255.76645410000128,259.3869382000012,255.76645410000128,259.3869382000012,39.72222222222223,2.430975999999646,space,251.00218120000136,251.00218120000136,1.817317399996682,3.5630377999987104,252.09705870000107,,,,,,,,,,,,,,,,,,12,1,2024-06-18_17h02.34.500,robot_nback_sign,2022.2.5,60.20647207619808,
R_Arm_X_For,False,2.0,robot,2.0,True,False,robot_stimuli\R_Arm_X_For.mp4,12.0,0.0,0.0,0.0,0.0,0.0,24.0,24.0,24.0,,,,,,,,,,,,,259.3869382000012,259.3869382000012,space,2.287211099999695,261.703075100002,262.7987262000024,,262.7987262000024,262.7987262000024,262.7987262000024,,None,266.43131150000045,266.43131150000045,266.43131150000045,266.43131150000045,266.43131150000045,266.43131150000045,266.43131150000045,266.43131150000045,None,None,None,,,,,262.7987262000024,,,,,,,,,,,,,,,,,,12,1,2024-06-18_17h02.34.500,robot_nback_sign,2022.2.5,60.20647207619808,
L_Head_Z_Back,False,2.0,robot,2.0,False,False,robot_stimuli\L_Head_Z_Back.mp4,12.0,0.0,0.0,0.0,0.0,0.0,25.0,25.0,25.0,,,,,,,,,,,,,266.43131150000045,266.43131150000045,None,,266.43131150000045,267.53101380000226,,267.53101380000226,267.53101380000226,267.53101380000226,,None,271.17409899999984,271.17409899999984,271.17409899999984,271.17409899999984,271.17409899999984,271.17409899999984,271.17409899999984,271.17409899999984,None,None,None,266.43131150000045,266.43131150000045,,,267.53101380000226,,,,,,,,,,,,,,,,,,12,1,2024-06-18_17h02.34.500,robot_nback_sign,2022.2.5,60.20647207619808,
R_Arm_X_For,True,2.0,robot,2.0,False,False,robot_stimuli\R_Arm_X_For.mp4,12.0,0.0,0.0,0.0,0.0,0.0,26.0,26.0,26.0,,,,,,,,,,,,,271.17409899999984,271.17409899999984,None,,271.17409899999984,272.2811980000006,,272.2811980000006,272.2811980000006,272.2811980000006,,c,275.92229020000013,275.92229020000013,275.92229020000013,275.92229020000013,275.92229020000013,275.92229020000013,275.92229020000013,275.92229020000013,None,None,None,271.17409899999984,271.17409899999984,2.048576299996057,,272.2811980000006,,,,,,,,,,,,,,,,,,12,1,2024-06-18_17h02.34.500,robot_nback_sign,2022.2.5,60.20647207619808,
L_Head_Z_Back,True,2.0,robot,2.0,False,False,robot_stimuli\L_Head_Z_Back.mp4,12.0,0.0,0.0,0.0,0.0,0.0,27.0,27.0,27.0,,,,,,,,,,,,,275.92229020000013,275.92229020000013,None,,275.92229020000013,,,277.0305503000018,277.0305503000018,277.0305503000018,,c,280.6727697000024,280.6727697000024,280.6727697000024,280.6727697000024,280.6727697000024,280.6727697000024,280.6727697000024,280.6727697000024,None,None,None,275.92229020000013,275.92229020000013,1.6740646999969613,,277.0305503000018,,,,,,,,,,,,,,,,,,12,1,2024-06-18_17h02.34.500,robot_nback_sign,2022.2.5,60.20647207619808,
L_Head_X_Back,False,2.0,robot,2.0,False,False,robot_stimuli\L_Head_X_Back.mp4,12.0,0.0,0.0,0.0,0.0,0.0,28.0,28.0,28.0,,,,,,,,,,,,,280.6727697000024,280.6727697000024,None,,280.6727697000024,,,281.7784353999996,281.7784353999996,281.7784353999996,,n,285.4109494000004,285.4109494000004,285.4109494000004,285.4109494000004,285.4109494000004,285.4109494000004,285.4109494000004,285.4109494000004,None,None,None,280.6727697000024,280.6727697000024,1.7675997000005736,,281.7784353999996,,,,,,,,,,,,,,,,,,12,1,2024-06-18_17h02.34.500,robot_nback_sign,2022.2.5,60.20647207619808,
L_Arm_Z_Back,False,2.0,robot,2.0,False,True,robot_stimuli\L_Arm_Z_Back.mp4,12.0,0.0,0.0,0.0,0.0,0.0,29.0,29.0,29.0,,,,,,,,,,,,,285.4109494000004,285.4109494000004,None,,285.4109494000004,286.50256020000234,,286.50256020000234,286.50256020000234,286.50256020000234,,n,290.18111130000034,297.2863378000002,290.18111130000034,297.2863378000002,290.18111130000034,297.2863378000002,290.18111130000034,297.2863378000002,49.75308641975309,2.4974336000013864,space,285.4109494000004,285.4109494000004,2.5632259999983944,7.059651200001099,286.50256020000234,,,,,,,,,,,,,,,,,,12,1,2024-06-18_17h02.34.500,robot_nback_sign,2022.2.5,60.20647207619808,
R_Torso_Z_For,False,3.0,robot,2.0,True,False,robot_stimuli\R_Torso_Z_For.mp4,12.0,0.0,0.0,0.0,0.0,0.0,30.0,30.0,30.0,,,,,,,,,,,,,297.2863378000002,297.2863378000002,space,1.1463416999977198,298.45297589999973,299.5370881000017,,299.5370881000017,299.5370881000017,299.5370881000017,,None,303.1867476000007,303.1867476000007,303.1867476000007,303.1867476000007,303.1867476000007,303.1867476000007,303.1867476000007,303.1867476000007,None,None,None,,,,,299.5370881000017,,,,,,,,,,,,,,,,,,12,1,2024-06-18_17h02.34.500,robot_nback_sign,2022.2.5,60.20647207619808,
R_Head_X_Back,False,3.0,robot,2.0,False,False,robot_stimuli\R_Head_X_Back.mp4,12.0,0.0,0.0,0.0,0.0,0.0,31.0,31.0,31.0,,,,,,,,,,,,,303.1867476000007,303.1867476000007,None,,303.1867476000007,304.2693648000022,,304.2693648000022,304.2693648000022,304.2693648000022,,None,307.9227288000002,307.9227288000002,307.9227288000002,307.9227288000002,307.9227288000002,307.9227288000002,307.9227288000002,307.9227288000002,None,None,None,303.1867476000007,303.1867476000007,,,304.2693648000022,,,,,,,,,,,,,,,,,,12,1,2024-06-18_17h02.34.500,robot_nback_sign,2022.2.5,60.20647207619808,
R_Torso_Z_For,False,3.0,robot,2.0,False,False,robot_stimuli\R_Torso_Z_For.mp4,12.0,0.0,0.0,0.0,0.0,0.0,32.0,32.0,32.0,,,,,,,,,,,,,307.9227288000002,307.9227288000002,None,,307.9227288000002,,,309.0303066000015,309.0303066000015,309.0303066000015,,None,312.6713335000022,312.6713335000022,312.6713335000022,312.6713335000022,312.6713335000022,312.6713335000022,312.6713335000022,312.6713335000022,None,None,None,307.9227288000002,307.9227288000002,,,309.0303066000015,,,,,,,,,,,,,,,,,,12,1,2024-06-18_17h02.34.500,robot_nback_sign,2022.2.5,60.20647207619808,
R_Torso_Z_For,True,3.0,robot,2.0,False,False,robot_stimuli\R_Torso_Z_For.mp4,12.0,0.0,0.0,0.0,0.0,0.0,33.0,33.0,33.0,,,,,,,,,,,,,312.6713335000022,312.6713335000022,None,,312.6713335000022,,,313.7758680000006,313.7758680000006,313.7758680000006,,c,317.4153905999992,317.4153905999992,317.4153905999992,317.4153905999992,317.4153905999992,317.4153905999992,317.4153905999992,317.4153905999992,None,None,None,312.6713335000022,312.6713335000022,2.1142283999979554,,313.7758680000006,,,,,,,,,,,,,,,,,,12,1,2024-06-18_17h02.34.500,robot_nback_sign,2022.2.5,60.20647207619808,
R_Head_X_Back,True,3.0,robot,2.0,False,False,robot_stimuli\R_Head_X_Back.mp4,12.0,0.0,0.0,0.0,0.0,0.0,34.0,34.0,34.0,,,,,,,,,,,,,317.4153905999992,317.4153905999992,None,,317.4153905999992,318.50454150000223,,318.50454150000223,318.50454150000223,318.50454150000223,,c,322.1450905999991,322.1450905999991,322.1450905999991,322.1450905999991,322.1450905999991,322.1450905999991,322.1450905999991,322.1450905999991,None,None,None,317.4153905999992,317.4153905999992,2.3043889999971725,,318.50454150000223,,,,,,,,,,,,,,,,,,12,1,2024-06-18_17h02.34.500,robot_nback_sign,2022.2.5,60.20647207619808,
L_Torso_Y_For,False,3.0,robot,2.0,False,True,robot_stimuli\L_Torso_Y_For.mp4,12.0,0.0,0.0,0.0,0.0,0.0,35.0,35.0,35.0,,,,,,,,,,,,,322.1450905999991,322.1450905999991,None,,322.1450905999991,323.2400143000013,,323.2400143000013,323.2400143000013,323.2400143000013,,n,326.90874070000064,330.6347573999992,326.90874070000064,330.6347573999992,326.90874070000064,330.6347573999992,326.90874070000064,330.6347573999992,57.77777777777778,2.6061618000021554,space,322.1450905999991,322.1450905999991,1.225694199998543,3.659985999998753,323.2400143000013,,,,,,,,,,,,,,,,,,12,1,2024-06-18_17h02.34.500,robot_nback_sign,2022.2.5,60.20647207619808,
,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,330.6347573999992,330.6347573999992,330.6347573999992,c,28.00722969999697,,,,,,,,,,,,,12,1,2024-06-18_17h02.34.500,robot_nback_sign,2022.2.5,60.20647207619808,
C,False,2.0,letter,1.0,True,False,robot_stimuli\\filler.mp4,12.0,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,362.3031278000017,363.35759569999937,,,,,,,365.5865435000014,365.5865435000014,365.5865435000014,365.5865435000014,365.5865435000014,365.5865435000014,365.5865435000014,365.5865435000014,None,None,None,,,,,,,,,,,358.70962730000247,358.70962730000247,space,3.572706799997832,363.35759569999937,363.35759569999937,365.5865435000014,None,,,,,12,1,2024-06-18_17h02.34.500,robot_nback_sign,2022.2.5,60.20647207619808,
V,False,2.0,letter,1.0,False,False,robot_stimuli\\filler.mp4,12.0,,,,,,,,,0.0,1.0,1.0,1.0,,,,,,,,,,,,,365.5865435000014,366.65190730000177,,,,,,,368.6780171999999,368.6780171999999,368.6780171999999,368.6780171999999,368.6780171999999,368.6780171999999,368.6780171999999,368.6780171999999,None,None,None,,,,,,,,,,,365.5865435000014,365.5865435000014,None,,366.65190730000177,366.65190730000177,368.6780171999999,n,365.5865435000014,365.5865435000014,0.9172642999983508,,12,1,2024-06-18_17h02.34.500,robot_nback_sign,2022.2.5,60.20647207619808,
